,id,type,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,start_latlng,end_latlng,average_heartrate,max_heartrate,elev_high,elev_low,average_speed,max_speed,kudos_count
48,13079475191,Run,Lunch Run,2906.6,1064,1064,0,2024-12-09T15:38:22Z,[],[],156.1,168.0,0.0,0.0,2.732,3.34,0
49,13066495416,Run,Afternoon Run,6869.8,2384,3543,64.4,2024-12-06T20:23:59Z,"[-20.378492, -40.306894]","[-20.329262, -40.28024]",163.1,179.0,15.6,0.8,2.882,5.593,0
50,13066495352,WeightTraining,Evening Weight Training,0.0,1815,1815,0,2024-12-05T22:41:08Z,[],[],122.5,154.0,0.0,0.0,0.0,0.0,0
51,13066495700,Run,Evening Run,8030.5,2841,2854,42.6,2024-12-05T21:35:21Z,"[-20.378993, -40.307119]","[-20.377411, -40.305858]",165.9,179.0,9.6,1.2,2.827,3.82,0
52,13066495595,WeightTraining,Night Weight Training,0.0,2724,2724,0,2024-12-05T00:02:24Z,[],[],105.7,147.0,0.0,0.0,0.0,0.0,0
53,13066495999,Walk,Evening Walk,1496.2,1506,1506,0,2024-12-04T23:34:18Z,[],[],102.8,111.0,0.0,0.0,0.993,1.58,0
54,13066498280,WeightTraining,Afternoon Weight Training,0.0,892,892,0,2024-12-03T20:48:05Z,[],[],97.9,130.0,0.0,0.0,0.0,0.0,0
55,13066496232,Run,Morning Run,8004.1,2829,2909,58.2,2024-12-02T10:56:46Z,"[-20.378684, -40.306914]","[-20.378061, -40.306398]",174.3,187.0,9.4,0.0,2.829,7.157,0
56,13066496976,Run,Morning Run,7188.3,2671,3638,60.6,2024-11-30T13:12:34Z,"[-20.378727, -40.306912]","[-20.374377, -40.304274]",169.4,183.0,10.4,0.2,2.691,4.48,0
57,13066496913,Run,Morning Run,508.7,182,182,6.2,2024-11-24T12:59:22Z,"[-20.378798, -40.306907]","[-20.374774, -40.304479]",148.1,160.0,9.0,2.8,2.795,3.28,0
58,13066496458,Run,Morning Run,565.0,174,179,0.0,2024-11-24T11:56:40Z,"[-20.378002, -40.310196]","[-20.37357, -40.3078]",138.9,156.0,8.0,5.8,3.247,4.1,0
59,13066496488,Run,Morning Run,5020.3,1830,2344,0,2024-11-23T13:46:10Z,[],[],163.4,177.0,0.0,0.0,2.743,3.44,0
60,13066496877,WeightTraining,Morning Weight Training,0.0,2340,2340,0,2024-11-23T13:07:02Z,[],[],107.6,131.0,0.0,0.0,0.0,0.0,0
61,13066496751,Ride,Morning Ride,0.0,958,958,0,2024-11-23T12:49:25Z,[],[],110.7,122.0,0.0,0.0,0.0,0.0,0
62,13066496899,Run,Lunch Run,5025.4,1931,2792,0,2024-11-20T14:21:02Z,[],[],165.3,179.0,0.0,0.0,2.602,3.46,0
63,13066496960,Ride,Morning Ride,0.0,1804,1804,0,2024-11-20T13:41:17Z,[],[],120.6,142.0,0.0,0.0,0.0,0.0,0
64,13066497075,WeightTraining,Morning Weight Training,0.0,2757,2757,0,2024-11-20T12:55:11Z,[],[],110.2,144.0,0.0,0.0,0.0,0.0,0
65,13066497088,Run,Morning Run,5018.5,1857,1857,0,2024-11-17T12:58:30Z,[],[],160.7,168.0,0.0,0.0,2.702,3.16,0
66,13066497223,Ride,Morning Ride,0.0,1820,1820,0,2024-11-17T12:22:04Z,[],[],120.2,127.0,0.0,0.0,0.0,0.0,0
67,13066497227,WeightTraining,Morning Weight Training,0.0,2197,2197,0,2024-11-17T11:45:22Z,[],[],118.6,159.0,0.0,0.0,0.0,0.0,0
68,13066497628,Run,Morning Run,5315.8,2133,2813,38.4,2024-11-16T11:38:52Z,"[-20.37883, -40.307071]","[-20.379638, -40.307693]",157.7,181.0,11.0,0.0,2.492,4.4,0
69,13066497579,Ride,Evening Ride,0.0,1280,1280,0,2024-11-15T21:07:17Z,[],[],122.5,131.0,0.0,0.0,0.0,0.0,0
70,13066497737,WeightTraining,Afternoon Weight Training,0.0,2142,2142,0,2024-11-15T20:31:27Z,[],[],110.0,141.0,0.0,0.0,0.0,0.0,0
71,13066497740,Run,Evening Run,4022.6,1602,1604,0,2024-11-14T22:19:01Z,[],[],153.7,171.0,0.0,0.0,2.511,3.28,0
72,13066498037,Run,Night Run,5029.5,1815,2225,0,2024-11-08T00:29:40Z,[],[],166.9,179.0,0.0,0.0,2.771,3.4,0
73,5934111817,Run,Afternoon Run,615.6,182,204,4.7,2021-09-09T20:50:48Z,"[-26.919094, -49.098329]","[-26.923234, -49.100783]",null,null,25.4,20.3,3.382,5.3,0
74,5918227950,Run,Afternoon Run,2370.3,769,106046,0.0,2021-09-05T18:44:27Z,"[-26.917681, -49.101031]","[-26.913269, -49.085675]",null,null,33.7,13.5,3.082,4.3,0
75,5868700847,Run,Afternoon Run,3559.9,1140,1495,17.6,2021-08-28T20:15:36Z,"[-26.917658, -49.101125]","[-26.917661, -49.101111]",null,null,33.8,15.5,3.123,4.5,0
